"","PlayerName","MOTM","TM","DM","LB","MC","FT","LS","BS","T","TA","C","P","DG","YC","RC","Country"
"1","J. Willis",NA,13.5,8.75,1.75,3.8,NA,NA,5.25,3.75,NA,NA,NA,NA,-1.25,NA,"England"
"2","L. Ludlam",NA,12,9.8,1.4,7.72,NA,NA,2.8,NA,1.4,NA,NA,NA,NA,NA,"England"
"3","M. Malins",NA,7.75,3.5,3.5,11.55,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,"England"
"4","T. Ramos",3,1.2,2.8,7,20.08,NA,NA,NA,9,2.8,7.2,10,1.4,NA,NA,"France"
"5","D. Penaud",NA,4.2,2.8,9.8,15.88,NA,NA,NA,15,1.4,NA,NA,NA,NA,NA,"France"
"6","T. Flament",NA,15.4,5.6,4.2,6.6,NA,1.4,NA,9,NA,NA,NA,NA,NA,NA,"France"
"7","J. Lowe",NA,2.6,7,14,21.32,NA,NA,1.4,9,2.8,NA,NA,NA,NA,NA,"Ireland"
"8","M. Hansen",6,3.8,2.8,9.8,13.12,NA,NA,4.2,9,1.4,NA,NA,NA,NA,NA,"Ireland"
"9","H. Keenan",3,3,2.8,5.6,22.48,2,NA,NA,6,1.4,NA,NA,NA,NA,NA,"Ireland"
"10","A. Capuozzo",NA,1.66666666666667,2.33333333333333,9.33333333333333,20.0666666666667,NA,NA,2.33333333333333,5,NA,NA,NA,NA,NA,NA,"Italy"
"11","T. Allan",NA,4.2,NA,5.6,13.08,NA,NA,NA,3,1.4,1.6,7,NA,NA,NA,"Italy"
"12","D. Fischetti",NA,9.2,14,1.4,5.84,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,"Italy"
"13","F. Russell",3.75,7.5,1.75,1.75,16.9,5,NA,NA,3.75,7,4.5,3.75,NA,NA,NA,"Scotland"
"14","D. van der Merwe",3,2.2,NA,11.2,19.28,NA,NA,NA,9,2.8,NA,NA,NA,NA,NA,"Scotland"
"15","H. Jones",NA,7.8,1.4,5.6,17.52,NA,NA,NA,12,1.4,NA,NA,NA,NA,NA,"Scotland"
"16","R. Dyer",NA,4,3.5,10.5,15.65,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,"Wales"
"17","J. Tipuric",NA,12.5,14,NA,4.25,NA,3.5,3.5,NA,1.75,NA,NA,NA,NA,NA,"Wales"
"18","L. Williams",NA,4,NA,7,15.9333333333333,NA,NA,4.66666666666667,10,NA,NA,NA,NA,-3.33333333333333,NA,"Wales"
